Airline,Source,Destination,Additional_Info_upd,Duration_mins,Total_Stops_upd,Price
Jet Airways,Kolkata,Banglore,0,740,1,14781
Jet Airways,Kolkata,Banglore,0,735,1,14939
Jet Airways,Delhi,Cochin,1,450,1,10262
Air India,Kolkata,Banglore,0,1440,1,6528
Air India,Banglore,Delhi,0,165,0,6121
Jet Airways,Delhi,Cochin,1,535,2,13029
Multiple carriers,Delhi,Cochin,0,430,1,11421
Multiple carriers,Delhi,Cochin,0,870,1,7574
Air India,Delhi,Cochin,0,1820,2,11596
Jet Airways,Delhi,Cochin,0,1195,2,15129
Jet Airways,Banglore,New Delhi,0,900,1,13555
IndiGo,Banglore,Delhi,0,175,0,5780
Vistara,Kolkata,Banglore,0,765,1,9397
Jet Airways,Delhi,Cochin,0,610,1,17024
Multiple carriers,Delhi,Cochin,0,925,1,10348
Air India,Delhi,Cochin,0,965,1,12677
Multiple carriers,Delhi,Cochin,0,610,1,15147
Vistara,Banglore,Delhi,0,160,0,4668
Jet Airways,Delhi,Cochin,0,715,1,15554
SpiceJet,Banglore,Delhi,0,160,0,3971
Air India,Mumbai,Hyderabad,0,85,0,3100
Jet Airways,Kolkata,Banglore,1,845,1,9663
Air India,Delhi,Cochin,0,1215,1,27430
IndiGo,Chennai,Kolkata,0,145,0,3540
Air India,Kolkata,Banglore,0,1390,2,10676
Jet Airways,Kolkata,Banglore,0,1090,1,13044
Jet Airways,Kolkata,Banglore,0,960,1,14388
IndiGo,Banglore,Delhi,0,170,0,3943
IndiGo,Chennai,Kolkata,0,140,0,3597
Air India,Banglore,New Delhi,0,480,1,5932
Jet Airways,Delhi,Cochin,1,1015,1,10262
Vistara,Delhi,Cochin,0,190,0,6216
IndiGo,Kolkata,Banglore,0,165,0,4804
Multiple carriers,Delhi,Cochin,0,840,1,14067
Jet Airways,Delhi,Cochin,0,1430,2,15129
Jet Airways,Delhi,Cochin,0,1300,2,13376
Air India,Delhi,Cochin,0,1275,2,10441
Jet Airways,Banglore,Delhi,1,165,0,4030
Jet Airways,Delhi,Cochin,0,650,1,17024
Multiple carriers,Delhi,Cochin,0,480,1,13017
GoAir,Kolkata,Banglore,0,495,1,6686
IndiGo,Delhi,Cochin,0,325,1,5636
IndiGo,Delhi,Cochin,0,515,1,6442
Multiple carriers,Delhi,Cochin,0,710,1,9486
Jet Airways,Kolkata,Banglore,1,1655,1,10844
Jet Airways,Delhi,Cochin,1,505,2,15318
Air India,Delhi,Cochin,0,1255,1,5117
IndiGo,Delhi,Cochin,0,290,1,6147
Multiple carriers,Delhi,Cochin,0,490,1,7005
SpiceJet,Kolkata,Banglore,0,140,0,3873
Jet Airways,Delhi,Cochin,1,1465,2,9270
GoAir,Banglore,Delhi,0,170,0,3898
Jet Airways,Kolkata,Banglore,0,740,1,14781
Jet Airways,Kolkata,Banglore,1,735,1,8586
Air India,Kolkata,Banglore,0,1415,2,10697
Jet Airways,Delhi,Cochin,0,995,2,14300
IndiGo,Banglore,New Delhi,0,170,0,8855
Jet Airways,Kolkata,Banglore,1,1545,1,10844
Jet Airways,Delhi,Cochin,0,1570,1,17024
Jet Airways,Kolkata,Banglore,1,1730,1,9314
IndiGo,Banglore,New Delhi,0,165,0,4777
Air India,Kolkata,Banglore,0,1515,1,7662
IndiGo,Delhi,Cochin,0,560,1,6442
SpiceJet,Delhi,Cochin,0,270,1,5264
Jet Airways,Delhi,Cochin,1,925,1,12898
Air India,Mumbai,Hyderabad,0,90,0,6092
SpiceJet,Banglore,Delhi,0,160,0,3311
Jet Airways,Delhi,Cochin,1,550,1,6540
IndiGo,Banglore,Delhi,0,165,0,3419
Jet Airways,Delhi,Cochin,1,1355,1,5177
Air India,Delhi,Cochin,0,185,0,8246
Jet Airways,Kolkata,Banglore,0,690,1,14676
Multiple carriers,Delhi,Cochin,0,570,1,13587
Jet Airways,Kolkata,Banglore,1,730,1,9663
Jet Airways,Kolkata,Banglore,0,1055,1,13044
IndiGo,Delhi,Cochin,0,305,1,5073
Vistara,Kolkata,Banglore,0,1550,1,9345
Jet Airways,Kolkata,Banglore,1,1200,1,9663
Multiple carriers,Delhi,Cochin,0,780,1,14277
Jet Airways,Delhi,Cochin,1,1105,1,10262
Jet Airways,Mumbai,Hyderabad,0,90,0,5678
Multiple carriers,Delhi,Cochin,0,570,1,13727
Jet Airways,Kolkata,Banglore,1,960,1,9663
IndiGo,Chennai,Kolkata,0,140,0,3858
SpiceJet,Delhi,Cochin,0,270,1,4812
IndiGo,Delhi,Cochin,0,345,1,5775
Jet Airways,Kolkata,Banglore,1,1450,1,10539
IndiGo,Kolkata,Banglore,0,155,0,4804
Air Asia,Banglore,Delhi,0,165,0,3383
IndiGo,Banglore,New Delhi,0,295,1,8738
Air India,Delhi,Cochin,0,1535,1,7165
IndiGo,Delhi,Cochin,0,380,1,6412
Jet Airways,Banglore,Delhi,0,185,0,8016
Jet Airways,Banglore,New Delhi,1,1120,1,11087
SpiceJet,Chennai,Kolkata,1,135,0,3543
Jet Airways,Kolkata,Banglore,0,730,1,12471
Jet Airways,Delhi,Cochin,1,1165,1,10262
Air India,Banglore,New Delhi,0,170,0,4441
Multiple carriers,Delhi,Cochin,0,505,1,12537
GoAir,Kolkata,Banglore,0,555,1,10091
Air India,Banglore,Delhi,0,170,0,6961
IndiGo,Delhi,Cochin,0,195,0,5013
Air India,Delhi,Cochin,0,170,0,6934
Multiple carriers,Delhi,Cochin,0,740,1,10877
Jet Airways,Banglore,Delhi,0,175,0,7229
IndiGo,Delhi,Cochin,0,575,1,7048
Vistara,Banglore,Delhi,0,155,0,4878
Jet Airways,Kolkata,Banglore,1,570,1,10844
Jet Airways,Delhi,Cochin,0,1760,2,15129
IndiGo,Banglore,Delhi,0,175,0,3943
SpiceJet,Delhi,Cochin,0,315,1,5583
Multiple carriers,Delhi,Cochin,0,545,1,9646
Multiple carriers,Delhi,Cochin,0,645,1,7677
IndiGo,Delhi,Cochin,0,295,1,6842
Jet Airways,Mumbai,Hyderabad,1,90,0,4995
Vistara,Kolkata,Banglore,0,700,1,9555
IndiGo,Banglore,Delhi,0,165,0,4077
Jet Airways,Banglore,Delhi,0,175,0,7229
Multiple carriers,Delhi,Cochin,0,600,1,12192
Air India,Banglore,Delhi,0,165,0,5911
Air India,Delhi,Cochin,0,615,1,8372
Jet Airways,Mumbai,Hyderabad,1,85,0,4995
Multiple carriers,Delhi,Cochin,0,555,1,14323
Jet Airways,Delhi,Cochin,0,1375,2,13014
Air India,Delhi,Cochin,0,1730,2,13591
Jet Airways,Delhi,Cochin,0,2245,2,18799
IndiGo,Banglore,Delhi,0,170,0,3943
SpiceJet,Mumbai,Hyderabad,1,90,0,1965
Jet Airways,Mumbai,Hyderabad,1,90,0,4995
Air India,Kolkata,Banglore,0,1540,1,14641
Air India,Kolkata,Banglore,0,155,0,4460
Air India,Delhi,Cochin,0,375,1,10191
Jet Airways,Delhi,Cochin,1,1050,1,13843
IndiGo,Delhi,Cochin,0,345,1,6349
Air Asia,Kolkata,Banglore,0,155,0,4409
Jet Airways,Delhi,Cochin,0,1530,1,17024
Multiple carriers,Delhi,Cochin,0,835,1,13727
IndiGo,Banglore,New Delhi,0,175,0,8855
Multiple carriers,Delhi,Cochin,0,615,1,12524
Jet Airways,Banglore,New Delhi,0,520,1,13555
Jet Airways,Kolkata,Banglore,1,330,1,10844
Multiple carriers,Delhi,Cochin,0,720,1,13587
SpiceJet,Chennai,Kolkata,1,135,0,3543
Vistara,Chennai,Kolkata,0,135,0,4842
IndiGo,Banglore,Delhi,0,170,0,3943
Jet Airways,Delhi,Cochin,1,550,1,10577
IndiGo,Delhi,Cochin,0,625,1,6979
Vistara,Chennai,Kolkata,0,140,0,11982
SpiceJet,Delhi,Cochin,0,270,1,5264
Vistara,Delhi,Cochin,0,190,0,8001
Air India,Delhi,Cochin,0,1410,2,10651
Jet Airways,Kolkata,Banglore,1,1640,1,10844
Multiple carriers,Delhi,Cochin,0,755,1,6601
Air India,Delhi,Cochin,0,1455,1,6587
SpiceJet,Mumbai,Hyderabad,0,80,0,3173
Air India,Banglore,Delhi,0,165,0,5228
Jet Airways,Banglore,Delhi,1,180,0,5769
Jet Airways,Delhi,Cochin,0,660,1,14714
Jet Airways,Delhi,Cochin,0,810,2,13014
IndiGo,Banglore,Delhi,0,170,0,3359
GoAir,Banglore,New Delhi,0,175,0,6722
IndiGo,Kolkata,Banglore,0,165,0,4462
IndiGo,Delhi,Cochin,0,675,1,6171
Air India,Kolkata,Banglore,0,875,2,12303
Multiple carriers,Delhi,Cochin,0,835,1,7695
IndiGo,Delhi,Cochin,0,845,1,5684
Air India,Kolkata,Banglore,0,905,1,8366
Air India,Chennai,Kolkata,0,135,0,19630
Jet Airways,Banglore,New Delhi,1,900,1,13502
Jet Airways,Kolkata,Banglore,0,775,1,14781
Multiple carriers,Delhi,Cochin,0,540,1,6513
Air India,Delhi,Cochin,0,735,1,9929
Multiple carriers,Delhi,Cochin,0,460,2,18275
Air India,Delhi,Cochin,0,1640,1,4487
IndiGo,Mumbai,Hyderabad,0,85,0,2754
Air India,Mumbai,Hyderabad,0,80,0,2575
SpiceJet,Kolkata,Banglore,0,330,1,8224
Air India,Delhi,Cochin,0,705,1,8991
IndiGo,Delhi,Cochin,0,195,0,5000
Jet Airways,Kolkata,Banglore,1,1495,1,8529
Air India,Delhi,Cochin,0,1640,1,14042
Jet Airways,Banglore,Delhi,1,175,0,4030
Jet Airways,Kolkata,Banglore,1,1025,1,10844
IndiGo,Kolkata,Banglore,0,160,0,4804
Multiple carriers,Delhi,Cochin,1,480,1,7308
IndiGo,Banglore,Delhi,0,180,0,4823
Jet Airways,Delhi,Cochin,1,1655,1,10262
Jet Airways,Delhi,Cochin,1,450,1,12898
Air India,Banglore,New Delhi,0,1375,2,12778
IndiGo,Delhi,Cochin,0,515,1,14871
Air India,Delhi,Cochin,0,1795,2,8708
Jet Airways,Kolkata,Banglore,1,1335,1,10844
SpiceJet,Mumbai,Hyderabad,0,80,0,4129
IndiGo,Kolkata,Banglore,0,160,0,4804
Jet Airways,Banglore,Delhi,0,180,0,7229
Jet Airways,Banglore,New Delhi,1,730,1,7832
SpiceJet,Chennai,Kolkata,0,155,0,3859
Multiple carriers,Delhi,Cochin,0,705,1,9001
Vistara,Banglore,Delhi,0,155,0,4878
IndiGo,Mumbai,Hyderabad,0,90,0,2754
Vistara,Banglore,Delhi,0,160,0,4668
Air Asia,Kolkata,Banglore,0,155,0,5216
Jet Airways,Delhi,Cochin,1,1375,2,10368
IndiGo,Delhi,Cochin,0,880,2,8146
Jet Airways,Delhi,Cochin,0,925,1,12242
Jet Airways,Banglore,New Delhi,1,435,1,9134
Air India,Delhi,Cochin,0,1210,2,10939
Air India,Delhi,Cochin,0,1245,2,11753
SpiceJet,Kolkata,Banglore,0,150,0,4174
Jet Airways,Kolkata,Banglore,1,1430,1,10844
Jet Airways,Delhi,Cochin,0,1620,1,14714
Jet Airways,Kolkata,Banglore,1,330,1,9899
IndiGo,Delhi,Cochin,0,710,1,14871
IndiGo,Chennai,Kolkata,0,135,0,7295
Air India,Delhi,Cochin,0,1470,2,13465
SpiceJet,Chennai,Kolkata,1,140,0,3543
Multiple carriers,Delhi,Cochin,0,390,1,7198
Jet Airways,Delhi,Cochin,1,1225,1,10262
IndiGo,Kolkata,Banglore,0,155,0,4148
Jet Airways,Banglore,Delhi,0,175,0,8016
Jet Airways,Delhi,Cochin,1,335,1,10262
SpiceJet,Kolkata,Banglore,1,150,0,3841
Jet Airways,Banglore,New Delhi,0,885,1,11507
Jet Airways,Kolkata,Banglore,0,740,1,14781
Jet Airways,Delhi,Cochin,0,1530,1,16079
Jet Airways,Delhi,Cochin,1,335,1,12898
Multiple carriers,Delhi,Cochin,0,705,1,15353
IndiGo,Banglore,New Delhi,0,175,0,7303
SpiceJet,Kolkata,Banglore,0,340,1,6197
Air India,Kolkata,Banglore,0,245,1,8996
IndiGo,Delhi,Cochin,0,480,1,6528
GoAir,Banglore,Delhi,0,165,0,4239
IndiGo,Kolkata,Banglore,0,160,0,4148
SpiceJet,Banglore,Delhi,0,175,0,3971
Air Asia,Kolkata,Banglore,0,955,1,5192
Jet Airways,Delhi,Cochin,0,1390,2,9483
Jet Airways,Delhi,Cochin,0,440,2,18804
Air India,Delhi,Cochin,0,170,0,5201
Jet Airways,Delhi,Cochin,0,450,1,16079
Jet Airways,Banglore,Delhi,1,180,0,7229
Multiple carriers,Delhi,Cochin,0,465,1,6795
Jet Airways,Kolkata,Banglore,0,1520,1,10953
Multiple carriers,Delhi,Cochin,0,625,2,15965
Air India,Delhi,Cochin,0,1820,2,9968
IndiGo,Kolkata,Banglore,0,155,0,4804
Jet Airways,Delhi,Cochin,0,540,1,16079
Jet Airways,Delhi,Cochin,1,910,2,11507
Air India,Kolkata,Banglore,0,1700,2,11542
Jet Airways,Banglore,Delhi,0,180,0,7229
Jet Airways,Banglore,Delhi,1,165,0,4544
IndiGo,Delhi,Cochin,0,295,1,6496
IndiGo,Kolkata,Banglore,0,160,0,4804
Air India,Banglore,New Delhi,0,1330,1,13439
Jet Airways,Delhi,Cochin,1,610,1,6540
IndiGo,Banglore,Delhi,0,170,0,4591
IndiGo,Banglore,New Delhi,0,260,1,4437
Air Asia,Delhi,Cochin,0,660,1,6151
Jet Airways,Banglore,Delhi,1,180,0,7754
Jet Airways,Delhi,Cochin,1,1355,1,10262
Jet Airways,Banglore,Delhi,0,185,0,8016
SpiceJet,Kolkata,Banglore,1,160,0,4781
Vistara,Banglore,Delhi,0,170,0,4668
Air India,Banglore,New Delhi,0,1265,1,14594
Jet Airways,Kolkata,Banglore,0,710,1,14231
Air India,Delhi,Cochin,0,1535,1,8425
Multiple carriers,Delhi,Cochin,0,925,1,9646
IndiGo,Chennai,Kolkata,0,145,0,7295
Air Asia,Kolkata,Banglore,0,220,1,5162
IndiGo,Banglore,New Delhi,0,175,0,6860
Vistara,Delhi,Cochin,0,190,0,6216
Air Asia,Kolkata,Banglore,0,710,1,5192
IndiGo,Banglore,Delhi,0,170,0,4823
SpiceJet,Banglore,Delhi,1,170,0,3919
IndiGo,Mumbai,Hyderabad,0,90,0,2754
Multiple carriers,Delhi,Cochin,0,690,1,9315
Multiple carriers,Delhi,Cochin,0,530,1,11667
Jet Airways,Kolkata,Banglore,1,1215,1,6224
Air India,Kolkata,Banglore,0,1210,2,13349
Jet Airways,Banglore,New Delhi,1,965,1,11087
Multiple carriers,Delhi,Cochin,0,755,1,15603
Jet Airways,Delhi,Cochin,0,1025,2,15129
IndiGo,Banglore,Delhi,0,180,0,4823
Vistara,Kolkata,Banglore,0,930,1,8452
Multiple carriers,Delhi,Cochin,0,690,1,12524
SpiceJet,Chennai,Kolkata,0,140,0,3384
Jet Airways,Delhi,Cochin,1,1425,1,10262
SpiceJet,Mumbai,Hyderabad,1,90,0,1965
IndiGo,Kolkata,Banglore,0,155,0,4804
Jet Airways,Delhi,Cochin,0,1485,1,16079
Jet Airways,Delhi,Cochin,0,1295,2,13292
Air Asia,Delhi,Cochin,0,330,1,6751
Air India,Delhi,Cochin,0,735,1,8669
IndiGo,Delhi,Cochin,0,485,1,14871
Jet Airways,Delhi,Cochin,1,300,1,12898
SpiceJet,Banglore,Delhi,1,170,0,3919
Multiple carriers,Delhi,Cochin,0,385,1,36983
IndiGo,Chennai,Kolkata,0,140,0,3597
Air India,Banglore,New Delhi,0,165,0,10741
Air India,Kolkata,Banglore,0,765,2,11432
Jet Airways,Banglore,New Delhi,1,950,1,11087
Jet Airways,Delhi,Cochin,0,1620,2,13292
Air India,Delhi,Cochin,0,1585,3,10493
GoAir,Banglore,New Delhi,0,175,0,7631
Air India,Delhi,Cochin,0,1490,2,13381
Jet Airways,Kolkata,Banglore,0,520,1,13731
Air India,Delhi,Cochin,0,1545,2,11911
IndiGo,Banglore,Delhi,0,170,0,4591
Multiple carriers,Delhi,Cochin,0,375,1,14848
Multiple carriers,Delhi,Cochin,0,630,1,8266
Air India,Delhi,Cochin,0,1560,2,12392
Jet Airways,Kolkata,Banglore,0,1025,1,13044
Jet Airways,Delhi,Cochin,1,1280,1,12898
Jet Airways,Delhi,Cochin,0,335,1,12242
IndiGo,Banglore,Delhi,0,170,0,3943
Vistara,Kolkata,Banglore,0,1550,1,11105
Jet Airways,Kolkata,Banglore,0,730,1,14388
Jet Airways,Delhi,Cochin,0,1025,2,13014
Multiple carriers,Delhi,Cochin,0,510,1,15411
Jet Airways,Delhi,Cochin,0,1385,1,16289
IndiGo,Delhi,Cochin,0,560,1,6442
Jet Airways,Kolkata,Banglore,1,475,1,10844
Jet Airways,Mumbai,Hyderabad,0,90,0,5678
IndiGo,Banglore,Delhi,0,170,0,6906
SpiceJet,Chennai,Kolkata,1,135,0,3543
Jet Airways,Delhi,Cochin,0,600,1,14714
Vistara Premium economy,Banglore,New Delhi,0,155,0,11793
Multiple carriers,Delhi,Cochin,0,465,1,14323
SpiceJet,Banglore,Delhi,0,175,0,3971
Vistara,Kolkata,Banglore,0,1580,1,8452
Vistara,Banglore,Delhi,0,160,0,5403
Multiple carriers,Delhi,Cochin,0,660,1,13727
Air India,Kolkata,Banglore,0,1165,2,12639
Jet Airways,Banglore,Delhi,1,175,0,5198
Vistara,Banglore,Delhi,0,165,0,4878
Jet Airways,Delhi,Cochin,1,1395,1,12373
Multiple carriers,Delhi,Cochin,1,540,1,8552
Vistara,Delhi,Cochin,0,190,0,6741
Multiple carriers,Delhi,Cochin,0,385,1,6481
Multiple carriers,Delhi,Cochin,0,520,1,7354
Air India,Banglore,Delhi,0,170,0,5228
Jet Airways,Kolkata,Banglore,1,740,1,10844
IndiGo,Delhi,Cochin,0,320,1,6347
Air India,Banglore,New Delhi,0,240,1,5013
Jet Airways,Kolkata,Banglore,1,585,1,9663
IndiGo,Banglore,Delhi,0,175,0,4823
Air India,Delhi,Cochin,0,1580,2,13381
SpiceJet,Chennai,Kolkata,1,135,0,3543
Jet Airways,Kolkata,Banglore,1,585,1,9663
Jet Airways,Kolkata,Banglore,1,1495,1,7064
Jet Airways,Delhi,Cochin,1,715,1,10262
Air India,Delhi,Cochin,0,500,2,13013
Jet Airways,Delhi,Cochin,0,1045,2,15339
GoAir,Banglore,Delhi,0,170,0,4937
IndiGo,Delhi,Cochin,0,425,1,6818
Air India,Delhi,Cochin,0,1275,2,10441
Jet Airways,Delhi,Cochin,1,300,1,5177
IndiGo,Chennai,Kolkata,0,145,0,3858
IndiGo,Kolkata,Banglore,0,315,1,6534
Multiple carriers,Delhi,Cochin,0,910,1,6795
Multiple carriers,Delhi,Cochin,0,705,1,9736
Jet Airways,Banglore,Delhi,0,180,0,7229
SpiceJet,Delhi,Cochin,0,295,1,4957
IndiGo,Banglore,New Delhi,0,165,0,7648
SpiceJet,Kolkata,Banglore,0,150,0,3873
Jet Airways,Kolkata,Banglore,0,585,1,14388
IndiGo,Kolkata,Banglore,0,160,0,5618
Multiple carriers,Delhi,Cochin,0,390,1,7408
Air Asia,Delhi,Cochin,0,330,1,13774
Vistara,Banglore,Delhi,0,160,0,4668
Jet Airways,Delhi,Cochin,0,2045,2,13082
Air India,Delhi,Cochin,0,925,1,8669
IndiGo,Delhi,Cochin,0,570,1,6316
Jet Airways,Delhi,Cochin,1,365,1,12583
Vistara,Banglore,New Delhi,0,160,0,7923
GoAir,Delhi,Cochin,0,350,1,7378
Vistara,Banglore,Delhi,0,165,0,4878
Jet Airways,Kolkata,Banglore,1,1640,1,10844
Jet Airways,Banglore,Delhi,0,180,0,7229
SpiceJet,Delhi,Cochin,0,315,1,6297
Jet Airways,Kolkata,Banglore,1,960,1,8529
Multiple carriers,Delhi,Cochin,0,420,1,13727
SpiceJet,Kolkata,Banglore,0,520,1,6643
Multiple carriers,Delhi,Cochin,0,540,1,10197
SpiceJet,Kolkata,Banglore,0,140,0,4911
IndiGo,Chennai,Kolkata,0,140,0,6482
Jet Airways,Banglore,New Delhi,0,380,1,26890
IndiGo,Kolkata,Banglore,0,265,1,3717
IndiGo,Chennai,Kolkata,0,140,0,3597
Air India,Banglore,New Delhi,0,665,2,10846
Air India,Banglore,New Delhi,0,1015,1,14069
Jet Airways,Delhi,Cochin,1,825,1,5177
Air India,Delhi,Cochin,0,1545,2,14641
IndiGo,Delhi,Cochin,0,835,1,6442
Air India,Delhi,Cochin,0,315,1,5704
Jet Airways,Kolkata,Banglore,1,1155,1,9663
Jet Airways,Delhi,Cochin,0,450,1,14714
Jet Airways,Delhi,Cochin,1,540,1,5406
Vistara,Kolkata,Banglore,0,1440,1,8610
Jet Airways,Delhi,Cochin,0,1090,2,14237
IndiGo,Banglore,Delhi,0,175,0,4823
IndiGo,Mumbai,Hyderabad,0,90,0,2227
Jet Airways,Delhi,Cochin,1,1280,1,12373
Air India,Delhi,Cochin,0,375,1,8372
Jet Airways,Delhi,Cochin,0,870,1,17024
Air India,Mumbai,Hyderabad,0,80,0,3100
Jet Airways,Delhi,Cochin,1,775,1,14053
IndiGo,Chennai,Kolkata,0,145,0,3540
Vistara,Kolkata,Banglore,0,1350,1,9345
Jet Airways,Delhi,Cochin,1,1375,2,10368
Jet Airways,Banglore,New Delhi,0,325,1,26890
SpiceJet,Mumbai,Hyderabad,0,85,0,5755
Jet Airways,Banglore,New Delhi,1,435,1,7832
Jet Airways,Kolkata,Banglore,0,740,1,14388
Air India,Delhi,Cochin,0,1210,2,8839
Air India,Delhi,Cochin,0,1275,2,22096
Vistara,Chennai,Kolkata,0,135,0,3687
Multiple carriers,Delhi,Cochin,0,630,1,9627
Multiple carriers,Delhi,Cochin,0,845,1,13542
IndiGo,Banglore,Delhi,0,170,0,4423
IndiGo,Delhi,Cochin,0,985,2,8899
SpiceJet,Delhi,Cochin,0,315,1,5583
Air Asia,Delhi,Cochin,0,830,1,6752
SpiceJet,Chennai,Kolkata,1,135,0,3543
Jet Airways,Banglore,New Delhi,1,435,1,7832
Air India,Kolkata,Banglore,0,1625,2,10991
Jet Airways,Delhi,Cochin,1,1655,1,12898
Jet Airways,Delhi,Cochin,1,300,1,12898
GoAir,Banglore,Delhi,0,170,0,3398
Air India,Delhi,Cochin,0,170,0,5201
Air India,Kolkata,Banglore,0,920,2,13873
Air India,Delhi,Cochin,0,320,1,7384
Jet Airways,Delhi,Cochin,1,610,1,10262
Jet Airways,Kolkata,Banglore,1,1655,1,10031
Jet Airways,Kolkata,Banglore,1,575,1,12384
Jet Airways,Kolkata,Banglore,1,1690,1,7757
Jet Airways,Banglore,New Delhi,0,840,1,17261
